iteration,train_pr_auc,val_pr_auc,gap
1,0.6890548426093683,0.6759669427663639,0.013087899843004402
2,0.731068831802822,0.7207760745994592,0.010292757203362757
3,0.7520445103703539,0.7447681583184314,0.007276352051922563
4,0.7611559661928042,0.757678585806069,0.003477380386735285
5,0.7809438209802816,0.7786738342890946,0.0022699866911869426
6,0.7804640978811341,0.775626810870977,0.004837287010157176
7,0.7875110966053107,0.7827428323725528,0.004768264232757891
8,0.7890304854009151,0.7844740005039051,0.004556484897009994
9,0.7916761534559972,0.7864578472719334,0.005218306184063826
10,0.7896512887042448,0.7844935040564444,0.0051577846478004785
11,0.7967968064709429,0.7885020575487518,0.008294748922191064
12,0.8003559945555214,0.7912548600180519,0.009101134537469524
13,0.8035434158873748,0.7954688979948406,0.008074517892534216
14,0.8128929433904204,0.8049628096603794,0.007930133730041034
15,0.8144179508254592,0.807192309024723,0.007225641800736149
16,0.8202109895226174,0.8123984490586693,0.007812540463948081
17,0.8239269420904137,0.8159029111228954,0.008024030967518359
18,0.8308616446843198,0.823992324769718,0.0068693199146018236
19,0.834497373248439,0.828023208959099,0.006474164289340001
20,0.8360663671373926,0.8289143756710827,0.007151991466309848
21,0.8383302944392967,0.8313297676022637,0.007000526837033005
22,0.8398572981356898,0.8331728096963791,0.006684488439310687
23,0.8418547041101553,0.8356111289272009,0.006243575182954375
24,0.8442956975540864,0.8391136360771946,0.005182061476891819
25,0.8487900526177313,0.8444578245108176,0.004332228106913694
26,0.8505465129570272,0.8460913694536817,0.004455143503345527
27,0.852723475448654,0.8480835785769374,0.00463989687171662
28,0.854814110653183,0.8508592843897725,0.0039548262634104825
29,0.857075241454297,0.8532038012110535,0.0038714402432434847
30,0.8583325680067319,0.8553950676908377,0.002937500315894126
31,0.8582274146856599,0.8547159680736748,0.003511446611985103
32,0.8589211344492316,0.8556772444987282,0.003243889950503398
33,0.8597326959839685,0.856350393854271,0.0033823021296974787
34,0.8601925616749349,0.8567353595469067,0.003457202128028136
35,0.8605637665781688,0.85735763308549,0.003206133492678842
36,0.8615093201947653,0.8585726291422728,0.0029366910524925016
37,0.8618827470358635,0.8588636723262238,0.003019074709639691
38,0.8622679518735885,0.8593301125805216,0.0029378392930669017
39,0.8623923046642584,0.8594859351502899,0.0029063695139684986
40,0.8634362637154097,0.8604977168422349,0.002938546873174852
41,0.8635547022214757,0.8608816079134483,0.002673094308027424
42,0.8636921132530679,0.8611356114757279,0.0025565017773400145
43,0.8639592612154032,0.8613092396991837,0.002650021516219514
44,0.8641786009346536,0.8613301379953137,0.0028484629393399352
45,0.8643664057193167,0.8616536331646919,0.002712772554624765
46,0.8658664413028359,0.8624035682670582,0.003462873035777636
47,0.866242724742454,0.8628643543791187,0.0033783703633353257
48,0.8662397863804355,0.8629632929405763,0.0032764934398592516
49,0.8663492351072566,0.8629785348057247,0.0033707003015318593
50,0.8675890574588514,0.8636048855105425,0.003984171948308912
51,0.8685531862988203,0.8643295159118093,0.0042236703870109915
52,0.8687738306015721,0.8646417016288527,0.004132128972719418
53,0.8689184043627438,0.86491755979064,0.004000844572103812
54,0.8689734994724245,0.8649740582524793,0.003999441219945221
55,0.8694091403664199,0.8651308667685084,0.004278273597911553
56,0.8695709196495981,0.8652565550161653,0.004314364633432821
57,0.8699518727625578,0.8653510797225632,0.004600793039994611
58,0.8707312837204355,0.8658618958841604,0.0048693878362751075
59,0.870897955139,0.8657974645103672,0.0051004906286328255
60,0.8712074265927058,0.8661045096630348,0.00510291692967102
61,0.8717762874799159,0.8664111715205369,0.005365115959378941
62,0.8719154031933065,0.8667862678373817,0.005129135355924852
63,0.872422763327075,0.8669736557622104,0.005449107564864608
64,0.8725796859456239,0.8670680879902495,0.00551159795537437
65,0.872784954193075,0.8668972440016677,0.005887710191407325
66,0.8735305088780378,0.8671005700911952,0.006429938786842615
67,0.8736672285095813,0.867023773494244,0.006643455015337363
68,0.8737957648332563,0.8671134376796651,0.006682327153591183
69,0.8740705227598959,0.8670732011920883,0.006997321567807635
70,0.8741032971356557,0.8671123600135346,0.006990937122121066
71,0.8742124662125226,0.8671408785257576,0.0070715876867649685
72,0.8744373556877525,0.866995765606842,0.0074415900809104985
73,0.8745365219561968,0.866943830982068,0.007592690974128846
74,0.8749668858843126,0.8672357159705553,0.00773116991375733
75,0.8751568235612242,0.8671324258878793,0.00802439767334484
76,0.8754482568510278,0.8672646282805456,0.00818362857048216
77,0.8754817222157062,0.8671982453556583,0.008283476860047934
78,0.8757886179748806,0.8670440474792991,0.008744570495581527
79,0.8760835358630092,0.8671236740842249,0.008959861778784384
80,0.8761266823718176,0.8670786901650063,0.009047992206811295
81,0.8765205803665747,0.8671059507968247,0.009414629569749922
82,0.8765492360315583,0.8671200207032926,0.009429215328265683
83,0.8766824037562947,0.8670751444373164,0.009607259318978323
84,0.876979161029254,0.866952110714575,0.010027050314678987
85,0.8770070256943309,0.8669263266605517,0.010080699033779172
86,0.8772148392766704,0.8668662504248748,0.010348588851795681
87,0.8773792787554776,0.8668519659242544,0.010527312831223212
88,0.8776077006426439,0.8666051856655609,0.011002514977083044
89,0.8778436331833209,0.8665268021175005,0.011316831065820376
90,0.8778499462409476,0.8664852961361861,0.011364650104761509
91,0.8778895956268609,0.8664947711832088,0.01139482444365203
92,0.8784765670474843,0.866724307707034,0.011752259340450322
93,0.8785021971535232,0.8667201667809157,0.0117820303726075
94,0.8786121378268881,0.8668209191549655,0.011791218671922565
95,0.8789427584144683,0.8668225713736825,0.01212018704078588
