mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.153287410736084,0.10191970335234035,0.17723941802978516,0.0363148485168559,0.9,50,7,7,0.15,0.4,0.9,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 7, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.9}",0.8633060938238755,0.8558146501585107,0.8559377764191364,0.8625814910689958,0.8594100028676296,0.00354333105154355,14
3.665114998817444,0.09093395330380898,0.28257453441619873,0.0337213472344363,0.9,150,5,5,0.2,0.2,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8553681468160242,0.8450146900547805,0.8505757594930532,0.8556085030179791,0.8516417748454592,0.004320747100099888,30
2.8294049501419067,0.06514921586694682,0.1948114037513733,0.028402664514548464,0.9,150,7,3,0.1,0.4,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 7, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.7}",0.8629722845489061,0.8593303161190547,0.8583908107243237,0.8633986498570683,0.8610230153123382,0.0021930014591224024,5
3.451629638671875,0.0723660739865383,0.26406538486480713,0.001821236302318196,1.0,150,5,5,0.2,0.4,0.9,"{'classifier__subsample': 1, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.9}",0.8589001668069287,0.8482475355043481,0.8537853446607521,0.8546344207308124,0.8538918669257103,0.0037915787622306127,26
1.4694597721099854,0.1166620466994772,0.09764277935028076,0.007070125307828435,0.9,50,5,3,0.1,0.4,0.9,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.9}",0.8405449145735755,0.8417316045589327,0.8285192640538667,0.8466225588079039,0.8393545854985697,0.00665760335547578,40
4.126169443130493,0.09161139101497824,0.3458606004714966,0.0016797317716829028,1.0,150,7,7,0.2,0.6,0.8,"{'classifier__subsample': 1, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 7, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.8}",0.854234092074185,0.8416679088306951,0.8504608831722686,0.8483147089261325,0.8486693982508202,0.0045640413612483485,34
2.6386120915412903,0.024430990746330344,0.2038053274154663,0.009443795022589848,0.9,100,7,5,0.2,0.6,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 7, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.7}",0.8598808048079267,0.8505338701017879,0.8581488157960012,0.8582109263815898,0.8566936042718264,0.0036235507195196567,20
1.4349562525749207,0.07579747622771772,0.10684007406234741,0.003980162827852732,1.0,50,3,3,0.15,0.2,0.8,"{'classifier__subsample': 1, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.8572950603471403,0.8537271548987378,0.853331655405067,0.8586813422560741,0.8557588032267548,0.0022869172369637553,22
2.052827775478363,0.044628288681453035,0.15012037754058838,0.021495281975243346,0.9,100,5,3,0.15,0.6,0.9,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.9}",0.8626198064390398,0.8600099975684412,0.8602160202760183,0.8657271761578151,0.8621432501103286,0.0023095785919736486,1
2.4852129220962524,0.15781810876663507,0.21335190534591675,0.017305198278208533,1.0,100,3,5,0.2,0.2,0.7,"{'classifier__subsample': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8600889096852964,0.8521071225514018,0.8565037786249096,0.8567249536028066,0.8563561911161036,0.002834851822789378,21
1.9661771059036255,0.056157344241261585,0.1386619210243225,0.006933948312193756,1.0,100,3,3,0.15,0.4,0.7,"{'classifier__subsample': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.7}",0.8654241516432403,0.8611083641948065,0.8576832775192434,0.8640388218432536,0.8620636538001359,0.0029704591035864415,2
4.357738971710205,0.08461257782450296,0.4815249443054199,0.018458521122956494,1.0,150,5,7,0.1,0.4,0.8,"{'classifier__subsample': 1, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.8}",0.8606127442931335,0.8507170868102096,0.8560385237817236,0.8545930645350103,0.8554903548550192,0.0035400769932972895,23
3.1042745113372803,0.1810974263196067,0.2344299554824829,0.004515314170090661,0.9,150,3,3,0.2,0.2,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8600734560306637,0.8561431950886963,0.8577580486457926,0.8627764942335812,0.8591877984996834,0.002498845778933395,16
4.042170882225037,0.07561121086091104,0.36852461099624634,0.016086632993424763,0.9,150,5,5,0.15,0.4,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.7}",0.8580345001415134,0.8535645619984968,0.857048538581673,0.8584272112965167,0.8567687030045499,0.0019168802573036484,19
2.756818413734436,0.1339307329738259,0.18223243951797485,0.005182524770836268,0.9,100,5,3,0.2,0.6,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.7}",0.8626796452912818,0.8582831365795267,0.8600990855461853,0.8656961437885217,0.8616895028013789,0.002791339823147508,4
4.366471350193024,0.026001456462130985,0.3477712869644165,0.005239724533873661,0.9,150,7,5,0.2,0.6,0.8,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 7, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.8}",0.8562584933799092,0.8521591566759794,0.8546086808682513,0.8539923413606412,0.8542546680711953,0.0014663410448179871,25
3.1959304809570312,0.07166704436442822,0.2619715929031372,0.013299249157065478,0.9,100,5,5,0.15,0.6,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 5, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.7}",0.8611844001908123,0.8562179028772036,0.8603011084127297,0.8597099701012356,0.8593533453954953,0.0018847544512844816,15
2.5186084508895874,0.09561177095200198,0.17994630336761475,0.011227197947765648,1.0,100,5,3,0.1,0.4,0.8,"{'classifier__subsample': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.8}",0.8614928163648121,0.8604531148738649,0.8577521280901967,0.8642496900467569,0.8609869373439076,0.0023265009198986776,6
3.241516888141632,0.08150495748275559,0.2766183614730835,0.028294482137033276,0.8,100,3,5,0.15,0.2,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8587451764639992,0.8565489131388493,0.85700734770269,0.8590135692257903,0.8578287516328322,0.0010672766964213026,18
3.6322078108787537,0.18160322281072594,0.2562549114227295,0.04327340162572419,0.8,150,5,3,0.15,0.2,0.9,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.9}",0.8602113497017613,0.8580612646631388,0.8591135818152834,0.8628929627934466,0.8600697897434075,0.0017985307817877383,10
1.692045271396637,0.021119459483974066,0.11938697099685669,0.0026632105502519495,0.9,50,5,3,0.15,0.2,0.8,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.855877055890577,0.854861395766944,0.8493839296913153,0.8609129184686084,0.8552588249543611,0.0040933887938087825,24
5.796943366527557,0.1602979118018523,0.5126187801361084,0.039147253741878496,0.9,150,7,7,0.2,0.2,0.8,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 7, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.8508862442160233,0.8434828428520343,0.8482921928465289,0.8492122144507296,0.847968373591329,0.002751633786914782,36
2.5306566953659058,0.10933646509223369,0.2026681900024414,0.0083741650209569,1.0,50,5,7,0.15,0.6,0.8,"{'classifier__subsample': 1, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 5, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.15, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.8}",0.86332286672967,0.8572472061164267,0.8595013516640986,0.8619041745614452,0.8604938997679101,0.0023193803304423686,7
1.966126263141632,0.08656527249529188,0.12586545944213867,0.0027308567033852943,0.9,50,5,3,0.2,0.4,0.7,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.7}",0.8595194062266077,0.8596048897662687,0.8554510636468114,0.8644385027375876,0.8597534655943189,0.003183437376328354,13
2.5369433164596558,0.06028581247628036,0.19523507356643677,0.003646565318761435,0.8,50,5,7,0.2,0.6,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 5, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.6, 'classifier__colsample_bytree': 0.8}",0.85605476624071,0.8522193718017688,0.8528128207858692,0.8525020456453133,0.8533972511184152,0.0015486072744954058,27
2.4033851623535156,0.044937699743428046,0.1977354884147644,0.0048985326473666565,1.0,50,3,7,0.1,0.2,0.7,"{'classifier__subsample': 1, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 3, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8610070566907253,0.8567538491084292,0.8540626998559134,0.8611437592143361,0.858241841217351,0.002989435051581911,17
1.6501705050468445,0.011033049298931246,0.11569243669509888,0.0020617882392266955,0.8,50,3,3,0.1,0.4,0.9,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 50, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.4, 'classifier__colsample_bytree': 0.9}",0.8425173218277194,0.8400259378549222,0.8337130314201234,0.8499835300712602,0.8415599552935062,0.005826675434881119,37
2.8566399216651917,0.062437979697519325,0.1083783507347107,0.0094289143288892,0.9,150,5,3,0.1,0.2,0.8,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.8621711533617875,0.8609116622748001,0.8590614192827826,0.8649877032832916,0.8617829845506655,0.002155633155069421,3
2.2226401567459106,0.08373711710777448,0.09995496273040771,0.007934088364400375,0.8,100,3,3,0.2,0.2,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.8610835109069074,0.8591599183520966,0.8558667403027505,0.8642037720494831,0.8600784854028094,0.0030253358654716853,9
