mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.67278516292572,0.03813183808152797,0.1743190884590149,0.0045198265011594145,0.9,0.3,0.15,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8613145660661385,0.8578926415230366,0.8597763927826397,0.8641001311055038,0.8607709328693297,0.0022722658848931127,17
1.5700321793556213,0.046217265479394365,0.14192157983779907,0.03437644575615701,0.9,0.3,0.15,5,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8629453330117953,0.860998968139067,0.858828321524255,0.8655450094236914,0.8620794080247023,0.0024747289204986355,7
2.6645429134368896,0.062090909990552556,0.21132642030715942,0.017166286081572616,0.9,0.3,0.15,5,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8619723184217017,0.8559455987518733,0.8590135516934775,0.8621517567980478,0.859770806416275,0.002535805011307998,30
3.67425674200058,0.09009610293904205,0.2759796977043152,0.012647966076460189,0.9,0.3,0.15,5,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8585294231560372,0.8528385605735572,0.8577178289636097,0.8601789716047575,0.8573161960744904,0.0027330355076788816,49
2.0476896166801453,0.0587984930057207,0.17651218175888062,0.03841478640929315,0.9,0.3,0.15,7,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8617680347348069,0.8566888752265313,0.8563668391763792,0.8604851620056827,0.8588272277858501,0.00234644172982646,44
3.5193511247634888,0.09373047768758748,0.25198447704315186,0.0072499892714450965,0.9,0.3,0.15,7,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8575707422636876,0.8509854355184953,0.8546416861875238,0.8544940755934928,0.8544229848907998,0.002333345576141626,61
4.807549595832825,0.18952083594916094,0.3717690706253052,0.006361723335966123,0.9,0.3,0.15,7,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.15, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8562316814663715,0.8490107660841916,0.8532748211835556,0.8508905384882341,0.8523519518055882,0.0027020011583341443,70
1.4911759495735168,0.1345541187317571,0.0987234115600586,0.0025398383885247163,0.9,0.3,0.2,3,5,50,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.9}",0.8601869092860494,0.8586811877117465,0.8564247258116594,0.8652177652392307,0.8601276470121715,0.003229422762179527,25
2.1565381288528442,0.11207987619640293,0.1388435959815979,0.005495365556048391,0.9,0.3,0.2,3,5,100,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8616477467513918,0.8587008082010102,0.8583660630805215,0.86400909881424,0.860680929211791,0.002307104975969846,18
2.7512853741645813,0.029566822921345912,0.17269515991210938,0.0020632639764678025,0.9,0.3,0.2,3,5,150,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.3, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 150, 'classifier__subsample': 0.9}",0.8597803524891411,0.8582672129600052,0.857790016525662,0.8611323435002667,0.8592424813687687,0.0013154549410559285,40
