mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
4.495226263999939,0.30647067217687346,0.48024559020996094,0.005906301084885432,0.9,0.6,0.1,4,7,90,0.0,0.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8788864148524617,0.8619993182369372,0.8526886818221353,0.8747161541323404,0.8670726422609687,0.01037575817868325,22,0.9791154014817128,0.9785867253300014,0.9735065591072727,0.9778768751635741,0.9772713902706404,0.0022176028335333504,16,0.7872638208537439,0.7673354452657515,0.7795132582637123,0.7843551797040169,0.7796169260218062,0.007612022810874742,16,0.732421875,0.717577353522054,0.7503496503496504,0.7346534653465346,0.7337505860545597,0.011615539700175821,15,0.850983358547655,0.8245083207261724,0.8110355253212396,0.8412698412698413,0.831949261466227,0.015345374044153568,19,0.9898563539598592,0.988972121657018,0.9898730375882147,0.9897896194464372,0.9896227831628822,0.0003769540208443407,15
4.815652072429657,0.3797351457341871,0.47221672534942627,0.012400701618320194,0.9,0.6,0.1,4,7,90,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8788052869735165,0.8619748582067223,0.8521932707911528,0.8746913276721436,0.8669161859108837,0.010523598512247335,24,0.978962010809058,0.9786913688301533,0.973477790188001,0.9779506285628455,0.9772704495975145,0.002220771241006807,17,0.7862889122070654,0.7664207938180541,0.7790613718411552,0.7847295864262991,0.7791251660731434,0.007812392883522745,22,0.7312947299934938,0.7154098360655737,0.7456807187284036,0.7370517928286853,0.7323592694040391,0.011044198961945466,23,0.8502269288956127,0.8252647503782148,0.8155706727135299,0.8390022675736961,0.8325161548902633,0.013185914901990062,7,0.9898063030747927,0.988905387143596,0.9897896194464372,0.9898396703315037,0.9895852449990824,0.0003929295550771612,23
4.7579644322395325,0.0745140547028301,0.47113561630249023,0.011010799889700109,0.9,0.6,0.1,4,7,90,0.1,0.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8788429308141975,0.8613712307898782,0.8530866924978193,0.8755952980265705,0.8672240380321165,0.010478508418987294,20,0.9792158703398253,0.9786355757394014,0.9730077194579816,0.9782695367396765,0.9772821755692211,0.0024908193739381183,15,0.7851903597624869,0.7677123722241804,0.7774566473988439,0.7871287128712872,0.7793720230641996,0.007642568291297907,19,0.7293964957819598,0.7188118811881188,0.744636678200692,0.7395348837209302,0.7330949847229251,0.00990415133254327,18,0.8502269288956127,0.8237518910741302,0.8133030990173847,0.8412698412698413,0.8321379400642422,0.014454066828190726,17,0.9897395685613707,0.989005488913729,0.9897228849330152,0.9899564557299921,0.9896060995345268,0.00035879499437103544,18
3.0811849236488342,0.025650868143188246,0.48166048526763916,0.004607052381225975,0.9,0.6,0.1,4,7,90,0.1,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8798485600512085,0.8623022495001291,0.8531192046803786,0.8751185744338164,0.8675971471663833,0.010539399244476765,14,0.979394341126248,0.9784726614629593,0.9729201296398942,0.9785899923258812,0.9773442811387456,0.0025788030631949768,10,0.7868623340321453,0.7658827658827659,0.7797101449275362,0.7861435136090491,0.7796496896128742,0.008422051909241432,15,0.7311688311688311,0.7144728225278324,0.7487821851078637,0.7383798140770252,0.733200913220388,0.01249467672818273,17,0.8517397881996974,0.8252647503782148,0.8133030990173847,0.8405139833711263,0.8327054052416059,0.014620999099024201,2,0.9898229867031482,0.988872019886885,0.9898563539598592,0.9899064048449256,0.9896144413487045,0.000429664167225863,16
3.462432384490967,0.11167572258141166,0.5394309163093567,0.03514380480309794,0.9,0.6,0.1,4,7,100,0.0,0.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 100, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8793440358510484,0.8625193899243501,0.8530471716758512,0.8762605021417075,0.8677927748982394,0.010611025371572338,8,0.9791495406332298,0.9787382641908083,0.9734367129166696,0.9783816401012584,0.9774265394604915,0.0023194982158411858,5,0.7889200561009818,0.7683098591549296,0.7781397032211365,0.7864693446088795,0.7804597407714818,0.008073017888130266,9,0.7352941176470589,0.7187088274044796,0.7465277777777778,0.7366336633663366,0.7342910965489131,0.00998795712100118,12,0.850983358547655,0.8252647503782148,0.8125472411186697,0.8435374149659864,0.8330831912526315,0.015104304421670819,1,0.9899564557299921,0.9890221725420845,0.9897729358180817,0.9898897212165702,0.9896603213266821,0.0003742445020508198,9
3.5716723799705505,0.10405059947466558,0.5314331650733948,0.03903638895395021,0.9,0.6,0.1,4,7,100,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 100, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.879243594929948,0.8625960992942887,0.8529200138110868,0.8759371012187095,0.8676742023135082,0.010554614541394874,12,0.979130132096514,0.9787374641048534,0.9735969342622329,0.9783069518088235,0.977442870568106,0.0022394578780380345,3,0.788218793828892,0.7664207938180541,0.778179190751445,0.7844797178130511,0.7793246240528606,0.008268949447449868,20,0.734640522875817,0.7154098360655737,0.7453287197231834,0.7354497354497355,0.7327072035285774,0.010836982943119602,22,0.8502269288956127,0.8252647503782148,0.8140589569160998,0.8405139833711263,0.8325161548902634,0.013882433150682619,5,0.9899230884732811,0.988905387143596,0.9897562521897262,0.9898063030747927,0.989597757720349,0.00040429839723893205,21
3.3775272369384766,0.05992965544312589,0.5460741519927979,0.04053196100779759,0.9,0.6,0.1,4,7,100,0.1,0.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 100, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8792951856029808,0.8614578312168508,0.8528731019528463,0.8765814489117046,0.8675518919210956,0.010863267196666242,16,0.9791399008879327,0.9787486330466936,0.972776697686035,0.9785807465548735,0.9773114945438838,0.002626015043967424,11,0.7884952648193616,0.7679830747531735,0.7779789931184353,0.7883934890304317,0.7807127054303505,0.008501166795452311,5,0.7351209941137998,0.7192866578599736,0.7468706536856745,0.7411842980705257,0.7356156509324934,0.010302495062516523,5,0.8502269288956127,0.8237518910741302,0.8117913832199547,0.8420256991685563,0.8319489755895635,0.015076012899951464,20,0.9899397721016366,0.9890221725420845,0.9897729358180817,0.9900231902434141,0.9896895176763042,0.00039568698929348054,5
3.398327648639679,0.0654372052680635,0.5064200758934021,0.004675938290802827,0.9,0.6,0.1,4,7,100,0.1,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 100, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8803855313183518,0.8625556033249517,0.8532114490587568,0.8763027175403062,0.8681138253105917,0.010846973931512875,2,0.979511521457131,0.9784999869792462,0.9725934199408044,0.9788191636541186,0.9773560230078251,0.002773895981183375,9,0.7889200561009818,0.7679324894514767,0.7774158523344191,0.7864214992927864,0.780172474294916,0.008261154496777962,11,0.7352941176470589,0.7174770039421814,0.7458333333333333,0.7388704318936877,0.7343687217040654,0.010462901139738346,11,0.850983358547655,0.8260211800302572,0.8117913832199547,0.8405139833711263,0.8323274762922483,0.014803389241133502,9,0.9899564557299921,0.9889888052853735,0.9897395685613707,0.9899230884732811,0.9896519795125044,0.0003916879282799914,11
3.850657880306244,0.35964173735626803,0.5495216250419617,0.013832629221368053,0.9,0.6,0.1,4,7,110,0.0,0.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 110, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8792441132002754,0.862498347951425,0.853320766781587,0.8766101252746922,0.8679183383019948,0.010562737896953686,6,0.9793739260297821,0.9787717000409618,0.9733746424581691,0.9781338482802246,0.9774135292022843,0.0023727225635402508,6,0.7887719298245615,0.7685250529287226,0.7774158523344191,0.7860415932322876,0.7801886070799977,0.00793185887032632,10,0.7356020942408377,0.7202380952380952,0.7458333333333333,0.7364597093791282,0.7345333080478486,0.009177377168126676,10,0.8502269288956127,0.8237518910741302,0.8117913832199547,0.8427815570672713,0.8321379400642422,0.015205313980077807,17,0.9899564557299921,0.9890555397987955,0.9897395685613707,0.9898730375882147,0.9896561504195932,0.0003552868656308203,10
3.612865149974823,0.08031917140845204,0.5589265823364258,0.01212219847969936,0.9,0.6,0.1,4,7,110,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.6, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 110, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.879324015316257,0.8625943182681192,0.8529820071930688,0.8760003856994956,0.8677251816192351,0.0105676262304895,10,0.979015068122028,0.9786377566188595,0.9734445337815456,0.9779319435946587,0.977257325529273,0.0022353824874708256,18,0.7901581722319859,0.7679324894514767,0.7771345875542692,0.784756527875794,0.7799954442783815,0.008361344641150221,14,0.7380170715692712,0.7174770039421814,0.7453157529493407,0.7359364659166115,0.7341865735943512,0.010256743988123268,14,0.8502269288956127,0.8260211800302572,0.8117913832199547,0.8405139833711263,0.8321383688792378,0.014566800836284316,13,0.9900398738717696,0.9889888052853735,0.9897228849330152,0.9898229867031482,0.9896436376983266,0.00039504897922126457,14
