mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.418189823627472,0.12308119741568177,0.17554163932800293,0.0035794758333929826,0.9,0.7,0.08,4,7,90,0.1,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.867055313931636,0.8643830097971645,0.8654338707455196,0.8678877889570781,0.8661899958578495,0.0013664004341348397,295
2.3242196440696716,0.008656359690500583,0.17380857467651367,0.0034717795131168996,0.9,0.7,0.08,4,7,90,0.1,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8664531366978948,0.8635357823077545,0.8644490304383338,0.8680001294344446,0.865609519719607,0.0017373706167653224,479
2.4426724910736084,0.07237408344018459,0.17925071716308594,0.007988300027362314,0.9,0.7,0.08,4,7,95,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8678150278259209,0.8646496380106922,0.8650245363986991,0.8686237069418268,0.8665282272942848,0.001720252493631233,173
2.5267063975334167,0.08883411307178328,0.18542075157165527,0.009853988397308715,0.9,0.7,0.08,4,7,95,0.0,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8681822180495112,0.8646530234946076,0.8649018057453634,0.8693937089695949,0.8667826890647692,0.0020523951754279645,84
2.469456672668457,0.05557536449083557,0.1844547986984253,0.0024890741425637923,0.9,0.7,0.08,4,7,95,0.0,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8676232383112858,0.8642962959372642,0.8630631216732094,0.8682306767751384,0.8658033331742245,0.0021785300071768773,428
2.556267499923706,0.10093233031852249,0.17787903547286987,0.004066210439508708,0.9,0.7,0.08,4,7,95,0.0,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8671589373057578,0.8650782474645933,0.8651826371520958,0.8683906362302117,0.8664526145381647,0.0013925289355080708,213
2.4784823060035706,0.10163786647248078,0.18077099323272705,0.004396959709194972,0.9,0.7,0.08,4,7,95,0.0,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.867769253813964,0.8641294414630293,0.8642325203205371,0.8677979053966112,0.8659822802485353,0.0018016964625437093,366
2.459872305393219,0.05448060593123171,0.18405067920684814,0.007456827223956131,0.9,0.7,0.08,4,7,95,0.0,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8669137030820628,0.8643662232079435,0.8636922309913384,0.8678500895813978,0.8657055617156856,0.0017252487916159303,452
2.4607545733451843,0.02925251351630544,0.1751195192337036,0.0019628517454941736,0.9,0.7,0.08,4,7,95,0.1,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8675075741690618,0.8646355903989206,0.8646835306108857,0.8693016832022903,0.8665320945952896,0.0019771253388540812,172
2.5459448099136353,0.19011571822764606,0.19945639371871948,0.021189879378470985,0.9,0.7,0.08,4,7,95,0.1,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 95, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8674475190650076,0.8636523173062155,0.865090310308123,0.8689804139331678,0.8662926401531285,0.002060022753872618,269
