mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
219.88073408603668,3.187234390260406,2.9497125148773193,0.21651778435339475,balanced_subsample,25,sqrt,2,2,350,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 350}",0.8580109420849875,0.8573684792681309,0.8574212693638859,0.859061535027797,0.8579655564362003,0.0006811715077850501,7
251.76949161291122,2.5392919350020957,3.3299830555915833,0.24434670659732627,balanced_subsample,25,sqrt,2,2,400,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.8580067204475069,0.8576026965658367,0.8570230848889789,0.8594808864449045,0.8580283470868068,0.0009085797640733249,6
279.31938821077347,2.816359673997785,3.5491833686828613,0.2165162256745649,balanced_subsample,25,sqrt,2,2,450,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 450}",0.8580367091511261,0.8574616645825989,0.8569635110032917,0.859787844218591,0.8580624322389019,0.001066097771763248,5
313.02504926919937,1.795584547233085,3.4443156123161316,0.4097490590572063,balanced_subsample,25,sqrt,2,2,500,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500}",0.8582338537690019,0.8577843633619991,0.8569862207390735,0.8597508279540914,0.8581888164560415,0.0010064451106927112,3
226.20559710264206,1.1813492801226124,3.0248732566833496,0.17185029784159392,balanced_subsample,30,sqrt,2,2,350,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 350}",0.8567743182515694,0.857710865668602,0.8577046566431653,0.8596198665634097,0.8579524267816866,0.001035378789055651,8
255.6993710398674,2.337553528708328,3.013051211833954,0.12372835178069687,balanced_subsample,30,sqrt,2,2,400,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.8571959254675916,0.8584178692188167,0.8575496564382963,0.8592744758627737,0.8581094817468696,0.0008062728406799736,4
208.85941368341446,2.5647220696496693,2.5038106441497803,0.2964512232568286,balanced_subsample,30,sqrt,2,2,450,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 450}",0.8573576958890278,0.8587502292135507,0.8574629497237266,0.8593157308510947,0.85822165141935,0.0008364286743059825,2
186.86525428295135,0.2520975448545111,0.9607813358306885,0.42464924852065583,balanced_subsample,30,sqrt,2,2,500,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500}",0.8581716156432638,0.8585583587784291,0.8577392507096203,0.8592623905897888,0.8584329039302755,0.0005597350705223433,1
