mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
251.6910418868065,2.5886931600184293,3.3150102496147156,0.17596048268178638,balanced_subsample,25,sqrt,2,2,400,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.8574861772469238,0.8593156854634295,0.857455730224448,0.8600056922125737,0.8585658212868437,0.0011217684682940166,3
280.3430474996567,1.5730930102801575,3.400647521018982,0.16893050874131893,balanced_subsample,25,sqrt,2,2,450,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 450}",0.8574663690590874,0.8595254752445466,0.8574914625795237,0.860250151411343,0.8586833645736252,0.0012314300449958319,2
307.3108910918236,1.7376609333364796,3.8038408756256104,0.16021903354439054,balanced_subsample,25,sqrt,2,2,500,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500}",0.8577048033753768,0.8597007972551671,0.8571977224904472,0.860391707819284,0.8587487577350688,0.0013324052745157845,1
246.99587827920914,1.276129358144766,3.1979945302009583,0.3055030471722195,balanced_subsample,30,sqrt,2,2,400,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.8579086787856681,0.8589151498173814,0.8578534659163028,0.8585183069097658,0.8582989003572795,0.0004411879838880537,4
262.8741906285286,0.5322487716636951,2.306256413459778,0.09243966267819517,balanced_subsample,30,sqrt,2,2,450,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 450}",0.8574540262803253,0.8586272845777727,0.8576435538258549,0.858569250914569,0.8580735288996304,0.0005293977064938538,6
255.89487940073013,1.5618045697371505,1.0201080441474915,0.08097816582667203,balanced_subsample,30,sqrt,2,2,500,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 30, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500}",0.8576319165847777,0.8592386727361772,0.8575242992029911,0.858777312597386,0.858293050280333,0.0007343003137387365,5
